api_surface	api_signature
dense/F64Decompositions.kt:factor	F64DenseMatrix.lu()
dense/F64Decompositions.kt:factorInto	F64LinearAlgebra.factorInto(F64DenseMatrix,F64LuDecomposition)
dense/F64Decompositions.kt:invert	F64LinearAlgebra.invert(F64LuDecomposition)
dense/F64Decompositions.kt:pivotedSymmetricIndefinite	F64LinearAlgebra.pivotedSymmetricIndefinite(F64DenseMatrix)
dense/F64Decompositions.kt:pivotedSymmetricIndefiniteInto	F64Decompositions.pivotedSymmetricIndefiniteInto(F64DenseMatrix,F64PivotedSymmetricIndefiniteDecomposition)
dense/F64Decompositions.kt:qr	F64DenseMatrix.qr()
dense/F64Decompositions.kt:qrInto	F64Decompositions.qrInto(F64DenseMatrix,F64QrDecomposition)
dense/F64Decompositions.kt:qrPivoted	F64DenseMatrix.qrPivoted(square)
dense/F64Decompositions.kt:rcond	F64LinearAlgebra.rcond(F64LuDecomposition,Double)
dense/F64Decompositions.kt:solve	F64LinearAlgebra.solve(F64LuDecomposition,DoubleArray)
dense/F64Decompositions.kt:solveInto	F64LinearAlgebra.solveInto(F64LuDecomposition,DoubleArray,DoubleArray)
dense/F64Decompositions.kt:trtri	F64DenseMatrix.trtri(lower=true)
dense/F64Kernels.kt:asum	F64Kernels.asum(DoubleArray,Int,Int)
dense/F64Kernels.kt:axpy	F64Kernels.axpy(DoubleArray,Int,Double,DoubleArray,Int,Int)
dense/F64Kernels.kt:dot	F64Kernels.dot(DoubleArray,Int,DoubleArray,Int,Int)
dense/F64Kernels.kt:dot4	F64Kernels.dot4(DoubleArray,Int,Int,DoubleArray,Int,Int,DoubleArray,Int)
dense/F64Kernels.kt:nrm2	F64Kernels.nrm2(DoubleArray,Int,Int)
dense/F64Kernels.kt:scale	F64Kernels.scale(DoubleArray,Int,Double,Int)
dense/F64Kernels.kt:swap	F64Kernels.swap(DoubleArray,Int,DoubleArray,Int,Int)
dense/F64LinearAlgebra.kt:applyQ	F64LinearAlgebra.applyQ(F64QrDecomposition,transpose=false)
dense/F64LinearAlgebra.kt:applyQInto	F64QrDecomposition.applyQInto(DoubleArray,DoubleArray)
dense/F64LinearAlgebra.kt:invert	F64LinearAlgebra.invert(F64LuDecomposition)
dense/F64LinearAlgebra.kt:lu	F64DenseMatrix.lu()
dense/F64LinearAlgebra.kt:pivotedSymmetricIndefinite	F64LinearAlgebra.pivotedSymmetricIndefinite(F64DenseMatrix)
dense/F64LinearAlgebra.kt:qr	F64DenseMatrix.qr()
dense/F64LinearAlgebra.kt:qrPivoted	F64DenseMatrix.qrPivoted(square)
dense/F64LinearAlgebra.kt:refactorInto	F64Decomposition.refactorInto(F64DenseMatrix)
dense/F64LinearAlgebra.kt:rcond	F64LinearAlgebra.rcond(F64LuDecomposition,Double)
dense/F64LinearAlgebra.kt:solve	F64LinearAlgebra.solve(F64LuDecomposition,DoubleArray)
dense/F64LinearAlgebra.kt:solveInto	F64LinearAlgebra.solveInto(F64LuDecomposition,DoubleArray,DoubleArray)
dense/F64LuDecomposition.kt:determinant	F64LuDecomposition.determinant()
dense/F64LuDecomposition.kt:lower	F64LuDecomposition.lower()
dense/F64LuDecomposition.kt:permutation	F64LuDecomposition.permutation()
dense/F64LuDecomposition.kt:rowAt	F64LuDecomposition.rowAt(Int)
dense/F64LuDecomposition.kt:upper	F64LuDecomposition.upper()
dense/FactorSnapshots.kt:columnOrder	F64PivotedQrDecomposition.columnOrder()
dense/FactorSnapshots.kt:determinantSign	F64LuDecomposition.determinantSign()
dense/FactorSnapshots.kt:explicitQ	F64QrDecomposition.explicitQ()
dense/FactorSnapshots.kt:explicitR	F64QrDecomposition.explicitR()
dense/FactorSnapshots.kt:logAbsDeterminant	F64LuDecomposition.logAbsDeterminant()
dense/FactorSnapshots.kt:lowerFactor	F64LuDecomposition.lowerFactor()
dense/FactorSnapshots.kt:packedFactor	F64PivotedSymmetricIndefiniteDecomposition.packedFactor()
dense/FactorSnapshots.kt:rowOrder	F64LuDecomposition.rowOrder()
dense/FactorSnapshots.kt:upperFactor	F64LuDecomposition.upperFactor()
dense/Triangular.kt:trmm	F64Blas.trmm(F64DenseMatrix,right=false)
dense/Triangular.kt:trmv	F64Blas.trmv(F64DenseMatrix,DoubleArray)
dense/Triangular.kt:trsm	F64Blas.trsm(F64DenseMatrix,right=false)
dense/Triangular.kt:trsv	F64Blas.trsv(F64DenseMatrix,DoubleArray)
dense/Triangular.kt:trtri	F64DenseMatrix.trtri(lower=true)
sparse/F64SparseBlas.kt:gemm	F64SparseBlas.gemm(F64SparseMatrix,F64DenseMatrix)
sparse/F64SparseBlas.kt:gemv	F64SparseBlas.gemv(F64SparseMatrix,DoubleArray)
sparse/F64SparseBlas.kt:prepare	F64PreparedSparseMatrix.gemv(DoubleArray)
sparse/F64SparseBlas.kt:transpose	F64SparseMatrix.transpose()
sparse/F64SparseBlas.kt:trsm	F64SparseBlas.trsm(F64SparseMatrix,F64DenseMatrix)
sparse/F64SparseBlas.kt:trsv	F64SparseBlas.trsv(F64SparseMatrix,DoubleArray,host)
sparse/F64SparseDecompositions.kt:cholesky	F64SparseMatrix.cholesky()
sparse/F64SparseDecompositions.kt:factor	F64SparseMatrix.lu()
sparse/F64SparseDecompositions.kt:quasiDefiniteLdl	F64SparseMatrix.quasiDefiniteLdl()
sparse/F64SparseDecompositions.kt:qr	F64SparseMatrix.qr()
sparse/F64SparseDecompositions.kt:solve	F64SparseFactorization.solve(DoubleArray)
sparse/F64SparseDecompositions.kt:solveInto	F64SparseFactorization.solveInto(DoubleArray,transpose=false)
sparse/F64SparseFactorization.kt:replaceColumn	F64SparseFactorization.replaceColumn(Int,F64SparseVector)
sparse/F64SparseFactorization.kt:solve	F64SparseFactorization.solve(DoubleArray)
sparse/F64SparseFactorization.kt:solveAllocation	F64SparseFactorization.solveAllocation(Boolean,Boolean)
sparse/F64SparseFactorization.kt:solveInto	F64SparseFactorization.solveInto(DoubleArray,transpose=false)
sparse/F64SparseKernels.kt:asum	F64SparseKernels.asum(SparseVector)
sparse/F64SparseKernels.kt:axpy	F64SparseKernels.axpy(DoubleArray,Double,SparseVector)
sparse/F64SparseKernels.kt:dot	F64SparseKernels.dot(SparseVector,DoubleArray)
sparse/F64SparseKernels.kt:gather	F64SparseKernels.gather(SparseVector,DoubleArray)
sparse/F64SparseKernels.kt:gatherZero	F64SparseKernels.gatherZero(SparseVector,DoubleArray)
sparse/F64SparseKernels.kt:nrm2	F64SparseKernels.nrm2(SparseVector)
sparse/F64SparseKernels.kt:scatter	F64SparseKernels.scatter(SparseVector,DoubleArray)
sparse/F64SparseQrFactorization.kt:applyQ	F64SparseQrFactorization.applyQ(DoubleArray,transpose=true)
sparse/F64SparseQrFactorization.kt:applyQInto	F64SparseQrFactorization.applyQInto(DoubleArray,DoubleArray)
sparse/F64SparseQrFactorization.kt:solve	F64SparseQrFactorization.solve(DoubleArray)
sparse/F64SparseQrFactorization.kt:solveAllocation	F64SparseQrFactorization.solveAllocation(Boolean)
sparse/F64SparseQrFactorization.kt:solveInto	F64SparseQrFactorization.solveInto(DoubleArray,DoubleArray)
sparse/SparseOps.kt:cholesky	F64SparseMatrix.cholesky()
sparse/SparseOps.kt:quasiDefiniteLdl	F64SparseMatrix.quasiDefiniteLdl()
sparse/SparseOps.kt:lu	F64SparseMatrix.lu()
sparse/SparseOps.kt:prepare	F64PreparedSparseMatrix.gemv(DoubleArray)
sparse/SparseOps.kt:qr	F64SparseMatrix.qr()
sparse/SparseOps.kt:trsm	F64SparseBlas.trsm(F64SparseMatrix,F64DenseMatrix)
sparse/SparseOps.kt:trsv	F64SparseBlas.trsv(F64SparseMatrix,DoubleArray,host)
sparse/basis/F64BasisSolver.kt:btran	F64BasisSolver.btran(F64IndexedVector)
sparse/basis/F64BasisSolver.kt:ftran	F64BasisSolver.ftran(F64IndexedVector)
sparse/basis/F64BasisSolver.kt:refactorize	F64BasisSolver.refactorize(F64SparseMatrix)
sparse/basis/F64BasisSolver.kt:solveQuality	F64BasisSolver.solveQuality(DoubleArray,F64IndexedVector)
sparse/basis/F64BasisSolver.kt:update	F64BasisSolver.update(Int,Int,F64IndexedVector)
sparse/basis/F64BasisSolvers.kt:basisSolver	F64BasisSolvers.basisSolver(F64SparseMatrix)
